run_id,suite,method,image,mask,seed,K,sparsity,n_train,dict_iters,als_iters,crown_T,K_s,mask_mode,missing_frac_target,square_size,scratch_count,scratch_thickness,status,full_psnr,full_ssim,full_mse,full_mae,hole_psnr,hole_mse,hole_mae,boundary_mae,missing_frac_actual,runtime_sec,train_rmse_final,observed_max_abs_err,train_rmse_initial,train_rmse_L3_final,train_rmse_L2_final,train_rmse_L1_final,crown_iters_completed,avg_outer_time_sec,error
paper__biharmonic__brick__random_p30__seed42__K32__s3__nt100__di1__als2__T1__Ks1,paper,biharmonic,brick,random_p30,42,32,3,100,1,2,1,1,random,0.3,20,3,4,completed,33.81081449606765,0.9633037710502043,0.0004158326159979472,0.007336583499761619,28.610912012681112,0.0013769202870877863,0.024293165735669843,0.007336583499761619,0.302001953125,0.013883113861083984,,0.0,,,,,,,
paper__zero_ksvd__brick__random_p30__seed42__K32__s3__nt100__di1__als2__T1__Ks1,paper,zero_ksvd,brick,random_p30,42,32,3,100,1,2,1,1,random,0.3,20,3,4,completed,19.341413935862867,0.5055769810576224,0.011637470856995142,0.05467866329663215,14.141511452476331,0.03853442249818278,0.18105400554810452,0.05467866329663215,0.302001953125,1.1282439231872559,0.1267551332417761,0.0,0.1267551332417761,,,,,,
paper__masked_ksvd__brick__random_p30__seed42__K32__s3__nt100__di1__als2__T1__Ks1,paper,masked_ksvd,brick,random_p30,42,32,3,100,1,2,1,1,random,0.3,20,3,4,completed,24.778507626664933,0.7874441256642633,0.003327738852912571,0.013423070354055416,19.578605143278395,0.011018931561463129,0.04444696537608003,0.013423070354055416,0.302001953125,1.0363922119140625,0.02727520956534151,0.0,0.02727520956534151,,,,,,
paper__multiscale_ksvd__brick__random_p30__seed42__K32__s3__nt100__di1__als2__T1__Ks1,paper,multiscale_ksvd,brick,random_p30,42,32,3,100,1,2,1,1,random,0.3,20,3,4,completed,30.839925302379672,0.9340153142444959,0.00082415229011492,0.01115524279433249,25.640022818993135,0.0027289634440668654,0.0369376511605383,0.01115524279433249,0.302001953125,1.312363862991333,0.02727520956534151,0.0,,0.009308936303805604,0.013720584417805026,0.02727520956534151,,,
paper__crown_full__brick__random_p30__seed42__K32__s3__nt100__di1__als2__T1__Ks1,paper,crown_full,brick,random_p30,42,32,3,100,1,2,1,1,random,0.3,20,3,4,completed,34.2361174846928,0.9683651983411776,0.0003770407160464515,0.006877714614557483,29.03621500130626,0.001248471117967878,0.022773742167524213,0.006877714614557483,0.302001953125,1.165757179260254,0.02727520956534151,0.0,0.02727520956534151,,,,1,1.1015069484710693,
paper__crown_no_nonlocal__brick__random_p30__seed42__K32__s3__nt100__di1__als2__T1__Ks1,paper,crown_no_nonlocal,brick,random_p30,42,32,3,100,1,2,1,1,random,0.3,20,3,4,completed,34.2361174846928,0.9683651983411776,0.0003770407160464515,0.006877714614557483,29.03621500130626,0.001248471117967878,0.022773742167524213,0.006877714614557483,0.302001953125,1.1144828796386719,0.02727520956534151,0.0,0.02727520956534151,,,,1,1.0564541816711426,
paper__crown_sparse_only__brick__random_p30__seed42__K32__s3__nt100__di1__als2__T1__Ks1,paper,crown_sparse_only,brick,random_p30,42,32,3,100,1,2,1,1,random,0.3,20,3,4,completed,33.12269776868242,0.9630800666289779,0.0004872257391523887,0.007931764539434265,27.922795285295884,0.0016133198282685401,0.026263951134618223,0.007931764539434265,0.302001953125,1.4620261192321777,0.02727520956534151,0.0,0.02727520956534151,,,,1,1.4349758625030518,
