suite,method,image,mask,K,sparsity,n_train,dict_iters,crown_T,num_runs,seeds,full_psnr_mean,full_psnr_std,full_ssim_mean,full_ssim_std,full_mse_mean,full_mse_std,full_mae_mean,full_mae_std,hole_psnr_mean,hole_psnr_std,hole_mse_mean,hole_mse_std,hole_mae_mean,hole_mae_std,boundary_mae_mean,boundary_mae_std,missing_frac_actual_mean,missing_frac_actual_std,runtime_sec_mean,runtime_sec_std,observed_max_abs_err_mean,observed_max_abs_err_std,train_rmse_final_mean,train_rmse_final_std
paper,biharmonic,brick,random_p30,32,3,100,1,1,1,42,33.81081449606765,0.0,0.9633037710502043,0.0,0.0004158326159979472,0.0,0.007336583499761619,0.0,28.610912012681112,0.0,0.0013769202870877863,0.0,0.024293165735669843,0.0,0.007336583499761619,0.0,0.302001953125,0.0,0.013883113861083984,0.0,0.0,0.0,,
paper,crown_full,brick,random_p30,32,3,100,1,1,1,42,34.2361174846928,0.0,0.9683651983411776,0.0,0.0003770407160464515,0.0,0.006877714614557483,0.0,29.03621500130626,0.0,0.001248471117967878,0.0,0.022773742167524213,0.0,0.006877714614557483,0.0,0.302001953125,0.0,1.165757179260254,0.0,0.0,0.0,0.02727520956534151,0.0
paper,crown_no_nonlocal,brick,random_p30,32,3,100,1,1,1,42,34.2361174846928,0.0,0.9683651983411776,0.0,0.0003770407160464515,0.0,0.006877714614557483,0.0,29.03621500130626,0.0,0.001248471117967878,0.0,0.022773742167524213,0.0,0.006877714614557483,0.0,0.302001953125,0.0,1.1144828796386719,0.0,0.0,0.0,0.02727520956534151,0.0
paper,crown_sparse_only,brick,random_p30,32,3,100,1,1,1,42,33.12269776868242,0.0,0.9630800666289779,0.0,0.0004872257391523887,0.0,0.007931764539434265,0.0,27.922795285295884,0.0,0.0016133198282685401,0.0,0.026263951134618223,0.0,0.007931764539434265,0.0,0.302001953125,0.0,1.4620261192321777,0.0,0.0,0.0,0.02727520956534151,0.0
paper,masked_ksvd,brick,random_p30,32,3,100,1,1,1,42,24.778507626664933,0.0,0.7874441256642633,0.0,0.003327738852912571,0.0,0.013423070354055416,0.0,19.578605143278395,0.0,0.011018931561463129,0.0,0.04444696537608003,0.0,0.013423070354055416,0.0,0.302001953125,0.0,1.0363922119140625,0.0,0.0,0.0,0.02727520956534151,0.0
paper,multiscale_ksvd,brick,random_p30,32,3,100,1,1,1,42,30.839925302379672,0.0,0.9340153142444959,0.0,0.00082415229011492,0.0,0.01115524279433249,0.0,25.640022818993135,0.0,0.0027289634440668654,0.0,0.0369376511605383,0.0,0.01115524279433249,0.0,0.302001953125,0.0,1.312363862991333,0.0,0.0,0.0,0.02727520956534151,0.0
paper,zero_ksvd,brick,random_p30,32,3,100,1,1,1,42,19.341413935862867,0.0,0.5055769810576224,0.0,0.011637470856995142,0.0,0.05467866329663215,0.0,14.141511452476331,0.0,0.03853442249818278,0.0,0.18105400554810452,0.0,0.05467866329663215,0.0,0.302001953125,0.0,1.1282439231872559,0.0,0.0,0.0,0.1267551332417761,0.0
