run_id,suite,method,image,mask,seed,K,sparsity,n_train,dict_iters,als_iters,crown_T,K_s,mask_mode,missing_frac_target,square_size,scratch_count,scratch_thickness,status,full_psnr,full_ssim,full_mse,full_mae,hole_psnr,hole_mse,hole_mae,boundary_mae,missing_frac_actual,runtime_sec,train_rmse_final,observed_max_abs_err,train_rmse_initial,train_rmse_L3_final,train_rmse_L2_final,train_rmse_L1_final,crown_iters_completed,avg_outer_time_sec,error
paper__crown_no_nonlocal__moon__random_p10__seed42__K192__s8__nt2000__di20__als10__T5__Ks10,paper,crown_no_nonlocal,moon,random_p10,42,192,8,2000,20,10,5,10,random,0.1,20,3,4,completed,52.69595691864652,0.9980344103616646,5.375319809959673e-06,0.00036918779946151727,42.571188159705656,5.531987422511262e-05,0.003799480468830087,0.0003760271606600459,0.09716796875,42.477893114089966,0.006987827173590876,0.0,0.009385631573551337,,,,4,6.17389988899231,
paper__masked_ksvd__moon__random_p10__seed42__K256__s6__nt2000__di20__als10__T3__Ks10,paper,masked_ksvd,moon,random_p10,42,256,6,2000,20,10,3,10,random,0.1,20,3,4,completed,32.464163504073056,0.9207849741944594,0.0005670007711979343,0.0021870535189296037,22.339394745132193,0.005835264218157637,0.022507967873205168,0.002227569616694183,0.09716796875,22.875207901000977,0.0077660199128939175,0.0,0.01032162026967048,,,,,,
paper__multiscale_ksvd__moon__random_p10__seed42__K256__s6__nt2000__di20__als10__T3__Ks10,paper,multiscale_ksvd,moon,random_p10,42,256,6,2000,20,10,3,10,random,0.1,20,3,4,completed,45.469259872553536,0.9838472900636007,2.8384027096392463e-05,0.0007924339340310766,35.344491113612676,0.0002921130024794561,0.008155299984400226,0.0008071141101060027,0.09716796875,39.28216505050659,0.0077660199128939175,0.0,,0.0035523688147072728,0.00792723876429714,0.0077660199128939175,,,
paper__biharmonic__moon__random_p10__seed42__K256__s6__nt2000__di20__als10__T5__Ks10,paper,biharmonic,moon,random_p10,42,256,6,2000,20,10,5,10,random,0.1,20,3,4,completed,52.76946764236665,0.9980398484164453,5.285100324984502e-06,0.0003649989971405568,42.644698883425775,5.439138424908674e-05,0.003756371588662615,0.0003717607589923463,0.09716796875,0.008117198944091797,,0.0,,,,,,,
paper__crown_no_nonlocal__moon__random_p10__seed42__K256__s6__nt2000__di20__als10__T3__Ks10,paper,crown_no_nonlocal,moon,random_p10,42,256,6,2000,20,10,3,10,random,0.1,20,3,4,completed,49.911624416940725,0.9967909502265458,1.0205576871746415e-05,0.0004496760952081389,39.786855657999865,0.00010503025845897815,0.004627822326564164,0.0004580065363601981,0.09716796875,34.18943786621094,0.0077660199128939175,0.0,0.01032162026967048,,,,3,4.60434889793396,
paper__zero_ksvd__moon__random_p10__seed42__K256__s6__nt2000__di20__als10__T5__Ks10,paper,zero_ksvd,moon,random_p10,42,256,6,2000,20,10,5,10,random,0.1,20,3,4,completed,18.079704560558362,0.13784196326562967,0.015560714835725326,0.038549031017356156,7.954935801617497,0.16014243207821843,0.39672570614846936,0.03926316823252289,0.09716796875,19.83981704711914,0.026753411612113195,0.0,0.061981148861681684,,,,,,
paper__masked_ksvd__moon__random_p10__seed42__K256__s6__nt2000__di20__als10__T5__Ks10,paper,masked_ksvd,moon,random_p10,42,256,6,2000,20,10,5,10,random,0.1,20,3,4,completed,32.464163504073056,0.9207849741944594,0.0005670007711979343,0.0021870535189296037,22.339394745132193,0.005835264218157637,0.022507967873205168,0.002227569616694183,0.09716796875,18.951966762542725,0.0077660199128939175,0.0,0.01032162026967048,,,,,,
paper__multiscale_ksvd__moon__random_p10__seed42__K256__s6__nt2000__di20__als10__T5__Ks10,paper,multiscale_ksvd,moon,random_p10,42,256,6,2000,20,10,5,10,random,0.1,20,3,4,completed,45.469259872553536,0.9838472900636007,2.8384027096392463e-05,0.0007924339340310766,35.344491113612676,0.0002921130024794561,0.008155299984400226,0.0008071141101060027,0.09716796875,31.621390104293823,0.0077660199128939175,0.0,,0.0035523688147072728,0.00792723876429714,0.0077660199128939175,,,
paper__crown_full__moon__random_p10__seed42__K256__s6__nt2000__di20__als10__T3__Ks10,paper,crown_full,moon,random_p10,42,256,6,2000,20,10,3,10,random,0.1,20,3,4,completed,51.57506032144126,0.9977586535556778,6.958152900895198e-06,0.0003917014300441987,41.4502915625004,7.160953337202695e-05,0.004031178536334267,0.00039895786583638894,0.09716796875,86.60155701637268,0.0077660199128939175,0.0,0.01032162026967048,,,,3,21.843115488688152,
paper__crown_sparse_only__moon__random_p10__seed42__K256__s6__nt2000__di20__als10__T3__Ks10,paper,crown_sparse_only,moon,random_p10,42,256,6,2000,20,10,3,10,random,0.1,20,3,4,completed,46.08969066099972,0.9935728752331107,2.4605428572978988e-05,0.0006167757074275802,35.964921902058855,0.00025322571717317067,0.006347520848299921,0.000628201740053057,0.09716796875,88.284432888031,0.0077660199128939175,0.0,0.01032162026967048,,,,3,23.30179770787557,
