suite,method,image,mask,K,sparsity,n_train,dict_iters,crown_T,num_runs,seeds,full_psnr_mean,full_psnr_std,full_ssim_mean,full_ssim_std,full_mse_mean,full_mse_std,full_mae_mean,full_mae_std,hole_psnr_mean,hole_psnr_std,hole_mse_mean,hole_mse_std,hole_mae_mean,hole_mae_std,boundary_mae_mean,boundary_mae_std,missing_frac_actual_mean,missing_frac_actual_std,runtime_sec_mean,runtime_sec_std,observed_max_abs_err_mean,observed_max_abs_err_std,train_rmse_final_mean,train_rmse_final_std
paper,biharmonic,brick,random_p10,192,6,2000,20,3,2,"123,42",41.38139804722681,0.20560849850368257,0.9931773311639673,0.0003866364807330047,7.283610625908108e-05,3.445713537747617e-06,0.0018121739300557124,5.758519603638794e-05,31.30518597404361,0.1570518127460261,0.000740909750416972,2.67814876366159e-05,0.018437155172136524,0.00037988016072156884,0.0018459228396553236,5.88296021710134e-05,0.0982666015625,0.0010986328125,0.01251518726348877,0.0039070844650268555,0.0,0.0,,
paper,biharmonic,brick,random_p10,192,6,2000,20,5,2,"123,42",41.38139804722681,0.20560849850368257,0.9931773311639673,0.0003866364807330047,7.283610625908108e-05,3.445713537747617e-06,0.0018121739300557124,5.758519603638794e-05,31.30518597404361,0.1570518127460261,0.000740909750416972,2.67814876366159e-05,0.018437155172136524,0.00037988016072156884,0.0018459228396553236,5.88296021710134e-05,0.0982666015625,0.0010986328125,0.008381128311157227,0.0006208419799804688,0.0,0.0,,
paper,biharmonic,brick,random_p10,192,8,2000,20,3,2,"123,42",41.38139804722681,0.20560849850368257,0.9931773311639673,0.0003866364807330047,7.283610625908108e-05,3.445713537747617e-06,0.0018121739300557124,5.758519603638794e-05,31.30518597404361,0.1570518127460261,0.000740909750416972,2.67814876366159e-05,0.018437155172136524,0.00037988016072156884,0.0018459228396553236,5.88296021710134e-05,0.0982666015625,0.0010986328125,0.0075531005859375,0.0004010200500488281,0.0,0.0,,
paper,biharmonic,brick,random_p10,192,8,2000,20,5,2,"123,42",41.38139804722681,0.20560849850368257,0.9931773311639673,0.0003866364807330047,7.283610625908108e-05,3.445713537747617e-06,0.0018121739300557124,5.758519603638794e-05,31.30518597404361,0.1570518127460261,0.000740909750416972,2.67814876366159e-05,0.018437155172136524,0.00037988016072156884,0.0018459228396553236,5.88296021710134e-05,0.0982666015625,0.0010986328125,0.017063617706298828,0.00324249267578125,0.0,0.0,,
paper,biharmonic,brick,random_p10,256,6,2000,20,3,2,"123,42",41.38139804722681,0.20560849850368257,0.9931773311639673,0.0003866364807330047,7.283610625908108e-05,3.445713537747617e-06,0.0018121739300557124,5.758519603638794e-05,31.30518597404361,0.1570518127460261,0.000740909750416972,2.67814876366159e-05,0.018437155172136524,0.00037988016072156884,0.0018459228396553236,5.88296021710134e-05,0.0982666015625,0.0010986328125,0.02683711051940918,0.019011974334716797,0.0,0.0,,
paper,biharmonic,brick,random_p10,256,6,2000,20,5,2,"123,42",41.38139804722681,0.20560849850368257,0.9931773311639673,0.0003866364807330047,7.283610625908108e-05,3.445713537747617e-06,0.0018121739300557124,5.758519603638794e-05,31.30518597404361,0.1570518127460261,0.000740909750416972,2.67814876366159e-05,0.018437155172136524,0.00037988016072156884,0.0018459228396553236,5.88296021710134e-05,0.0982666015625,0.0010986328125,0.018441200256347656,0.010652542114257812,0.0,0.0,,
paper,biharmonic,brick,random_p10,256,8,2000,20,3,2,"123,42",41.38139804722681,0.20560849850368257,0.9931773311639673,0.0003866364807330047,7.283610625908108e-05,3.445713537747617e-06,0.0018121739300557124,5.758519603638794e-05,31.30518597404361,0.1570518127460261,0.000740909750416972,2.67814876366159e-05,0.018437155172136524,0.00037988016072156884,0.0018459228396553236,5.88296021710134e-05,0.0982666015625,0.0010986328125,0.011868000030517578,0.003359079360961914,0.0,0.0,,
paper,biharmonic,brick,random_p10,256,8,2000,20,5,2,"123,42",41.38139804722681,0.20560849850368257,0.9931773311639673,0.0003866364807330047,7.283610625908108e-05,3.445713537747617e-06,0.0018121739300557124,5.758519603638794e-05,31.30518597404361,0.1570518127460261,0.000740909750416972,2.67814876366159e-05,0.018437155172136524,0.00037988016072156884,0.0018459228396553236,5.88296021710134e-05,0.0982666015625,0.0010986328125,0.015368342399597168,0.0012775659561157227,0.0,0.0,,
paper,biharmonic,brick,random_p30,192,6,2000,20,3,2,"123,42",33.92519125320448,0.11437675713683149,0.9638018604294118,0.0004980893792076446,0.0004051645782071904,1.066803779075677e-05,0.0072799761146636645,5.660738509795458e-05,28.72572758408831,0.11481557140720078,0.0013414639138189838,3.5456373268802376e-05,0.024103308798851752,0.00018985693681809225,0.0072799761146636645,5.660738509795458e-05,0.302032470703125,3.0517578125e-05,0.02051079273223877,0.0030580759048461914,0.0,0.0,,
paper,biharmonic,brick,random_p30,192,6,2000,20,5,2,"123,42",33.92519125320448,0.11437675713683149,0.9638018604294118,0.0004980893792076446,0.0004051645782071904,1.066803779075677e-05,0.0072799761146636645,5.660738509795458e-05,28.72572758408831,0.11481557140720078,0.0013414639138189838,3.5456373268802376e-05,0.024103308798851752,0.00018985693681809225,0.0072799761146636645,5.660738509795458e-05,0.302032470703125,3.0517578125e-05,0.020956873893737793,0.0004590749740600586,0.0,0.0,,
