K_learn,s,n_iter,als_iters,baseline_rmse_final_mean,baseline_rmse_final_std,coherence_baseline_mean,coherence_baseline_std,coherence_masked_mean,coherence_masked_std,final_gap_pct_mean,final_gap_pct_std,full_rmse_baseline_mean,full_rmse_baseline_std,full_rmse_masked_mean,full_rmse_masked_std,masked_rmse_final_mean,masked_rmse_final_std,num_seeds
60,4,30,8,0.10652941421543528,0.0,0.6587219420548165,0.0,0.6970625995957574,0.0,32.3441138272091,0.0,0.2358270693089935,0.0,0.30357501595341463,0.0,0.07207341922213582,0.0,1
60,4,30,15,0.10652941421550811,0.0,0.6587219420468536,0.0,0.6974479479164999,0.0,32.21066116139972,0.0,0.23582706930884723,0.0,0.3036326324899121,0.0,0.07221558556532681,0.0,1
60,4,15,15,0.11036779351921905,0.0,0.6260319847216569,0.0,0.6992766654579019,0.0,29.573115117772463,0.0,0.23683079548386568,0.0,0.30604213493790977,0.0,0.07772859888883499,0.0,1
60,4,15,8,0.11036779352024201,0.0,0.6260319837979879,0.0,0.6992770909071907,0.0,29.573106364038036,0.0,0.2368307954825686,0.0,0.30604173319709804,0.0,0.07772860855085896,0.0,1
50,4,30,15,0.11837635086258724,0.0,0.6065759197748612,0.0,0.6839128578866462,0.0,32.460932937549835,0.0,0.23871454583753776,0.0,0.3013666244905303,0.0,0.0799502829951641,0.0,1
50,4,30,8,0.11837635086633348,0.0,0.6065759200217533,0.0,0.6785806535048149,0.0,31.258436672439505,0.0,0.23871454583906668,0.0,0.2976416802724541,0.0,0.08137375419563583,0.0,1
50,4,15,15,0.11956296126449556,0.0,0.6986275234535078,0.0,0.6808473758014291,0.0,29.82560787227939,0.0,0.23975034622892258,0.0,0.3046717090348198,0.0,0.08390258127726181,0.0,1
50,4,15,8,0.11956296126189028,0.0,0.698627523454332,0.0,0.6859934897997801,0.0,29.47328947013431,0.0,0.23975034622442387,0.0,0.3019324475845591,0.0,0.0843238235901088,0.0,1
40,4,30,8,0.12878675520624996,0.0,0.6449346494502176,0.0,0.5717467023699985,0.0,25.860611693885605,0.0,0.2435221666302751,0.0,0.31227238104661076,0.0,0.09548171252920666,0.0,1
40,4,30,15,0.12878675520543326,0.0,0.6449346494251591,0.0,0.5858846118193907,0.0,24.594058772329586,0.0,0.24352216663157905,0.0,0.31791541630780784,0.0,0.09711286493923277,0.0,1
40,4,15,15,0.13070746386066673,0.0,0.6178377790685602,0.0,0.5661036659431666,0.0,24.46554826605707,0.0,0.2438933947318238,0.0,0.3165398180043375,0.0,0.09872916620249621,0.0,1
40,4,15,8,0.13070746385992082,0.0,0.6178377790855137,0.0,0.5909120874299683,0.0,23.524674575105596,0.0,0.24389339473281943,0.0,0.32115061208136736,0.0,0.09995895834150069,0.0,1
60,3,30,8,0.13301805961092086,0.0,0.6188688438918278,0.0,0.7403614688260426,0.0,24.10620209831279,0.0,0.24309700765411418,0.0,0.3220389554111587,0.0,0.1009524573338581,0.0,1
60,3,30,15,0.1332216882195961,0.0,0.6073396356577901,0.0,0.6989932983317291,0.0,24.1981653248997,0.0,0.24319036951216066,0.0,0.31775740379016504,0.0,0.1009844838555958,0.0,1
60,3,15,15,0.13657104429561864,0.0,0.5982929053612873,0.0,0.6898910244384256,0.0,24.460028740581507,0.0,0.24699843348479192,0.0,0.3123604649737158,0.0,0.10316572760959802,0.0,1
60,3,15,8,0.1370539312203395,0.0,0.6236007924633822,0.0,0.7352112949438507,0.0,23.45932410172442,0.0,0.24526356799531404,0.0,0.3138724349773392,0.0,0.10490200530120558,0.0,1
50,3,30,15,0.14577689577139075,0.0,0.7285581836596241,0.0,0.7221843218958551,0.0,24.62923041959074,0.0,0.24895397706896513,0.0,0.300924924063932,0.0,0.10987316821332828,0.0,1
50,3,30,8,0.14577689577676856,0.0,0.7285581837422087,0.0,0.5850952613064152,0.0,24.27591186584942,0.0,0.24895397706509106,0.0,0.3012413702728263,0.0,0.11038822503722906,0.0,1
50,3,15,8,0.14733329263349934,0.0,0.6938818153373771,0.0,0.6708178093748567,0.0,22.94276567045922,0.0,0.2509732832473814,0.0,0.30107399362417175,0.0,0.11353096055002364,0.0,1
50,3,15,15,0.14733329262684272,0.0,0.6938818146689214,0.0,0.688226143570842,0.0,22.558772344723177,0.0,0.2509732832280315,0.0,0.30670788602834226,0.0,0.11409671055516846,0.0,1
