combo_id,seed,n,K_true,K_learn,s_true,s,N,noise_std,missing_frac,n_iter,als_iters,masked_rmse_initial,masked_rmse_final,baseline_rmse_initial,baseline_rmse_final,full_rmse_masked,full_rmse_baseline,coherence_masked,coherence_baseline,avg_nnz_masked,avg_nnz_baseline,improvement_masked_pct,improvement_baseline_pct,final_gap_pct,plot_path
cfg006,42,20,50,40,3,3,500,0.15,0.3,15,15,0.1726978844189772,0.1287645143033987,0.2008612871139683,0.16153702874758266,0.32264573797946666,0.2597383160231971,0.6309269048057559,0.6277176850040646,3.0,3.0,25.439437352337833,19.577818568927686,20.28792698384605,/Users/abhay/Desktop/CS/CS754_Proj/outputs/sweep/plots/cfg006__seed-42__n-20__K_true-50__K_learn-40__s_true-3__s-3__N-500__noise_std-0p15__missing_frac-0p3__n_iter-15__als_iters-15.png
cfg006,123,20,50,40,3,3,500,0.15,0.3,15,15,0.17403255616719981,0.13339153604329124,0.2019349701688206,0.16539461217308601,0.3211758781761685,0.26664816862857826,0.548320683289961,0.6022521168230933,3.0,3.0,23.352538754222042,18.095111493163518,19.349527599063176,/Users/abhay/Desktop/CS/CS754_Proj/outputs/sweep/plots/cfg006__seed-123__n-20__K_true-50__K_learn-40__s_true-3__s-3__N-500__noise_std-0p15__missing_frac-0p3__n_iter-15__als_iters-15.png
cfg007,42,20,50,40,3,3,500,0.15,0.3,20,8,0.17269792660889804,0.127062392225545,0.20086101587914357,0.16151305915171507,0.31730777876191824,0.2606429217260118,0.6251104411615684,0.5920698959368242,3.0,3.0,26.42506211826271,19.589643393571123,21.32995753229423,/Users/abhay/Desktop/CS/CS754_Proj/outputs/sweep/plots/cfg007__seed-42__n-20__K_true-50__K_learn-40__s_true-3__s-3__N-500__noise_std-0p15__missing_frac-0p3__n_iter-20__als_iters-8.png
cfg007,123,20,50,40,3,3,500,0.15,0.3,20,8,0.17403255912377577,0.12998393746447098,0.20193465935423538,0.1638590012878366,0.32267150053058014,0.26651738292511035,0.5507783173524956,0.6120915897949809,3.0,3.0,25.310563656066478,18.855434816470094,20.673300555433194,/Users/abhay/Desktop/CS/CS754_Proj/outputs/sweep/plots/cfg007__seed-123__n-20__K_true-50__K_learn-40__s_true-3__s-3__N-500__noise_std-0p15__missing_frac-0p3__n_iter-20__als_iters-8.png
cfg008,42,20,50,40,3,3,500,0.15,0.3,20,15,0.1726978844189772,0.12747894841307472,0.2008612871139683,0.16151305914270922,0.32368919737104146,0.26064292176453413,0.617139190133612,0.5920698949888794,3.0,3.0,26.183838996080677,19.589751980894643,21.07204885492432,/Users/abhay/Desktop/CS/CS754_Proj/outputs/sweep/plots/cfg008__seed-42__n-20__K_true-50__K_learn-40__s_true-3__s-3__N-500__noise_std-0p15__missing_frac-0p3__n_iter-20__als_iters-15.png
cfg008,123,20,50,40,3,3,500,0.15,0.3,20,15,0.17403255616719981,0.13073948316582118,0.2019349701688206,0.1638590012859375,0.3228597762725527,0.26651738291291777,0.5571648297126601,0.6120915899846548,3.0,3.0,24.87642194934223,18.8555597136301,20.21220553048657,/Users/abhay/Desktop/CS/CS754_Proj/outputs/sweep/plots/cfg008__seed-123__n-20__K_true-50__K_learn-40__s_true-3__s-3__N-500__noise_std-0p15__missing_frac-0p3__n_iter-20__als_iters-15.png
cfg009,42,20,50,40,3,4,500,0.15,0.3,15,8,0.13927983853044143,0.10062228652661143,0.17282394147180113,0.1355546738733918,0.31872180344547574,0.2523922321174217,0.6476472164286149,0.6237175870955554,4.0,4.0,27.755310755462204,21.56487537607189,25.769961557656984,/Users/abhay/Desktop/CS/CS754_Proj/outputs/sweep/plots/cfg009__seed-42__n-20__K_true-50__K_learn-40__s_true-3__s-4__N-500__noise_std-0p15__missing_frac-0p3__n_iter-15__als_iters-8.png
cfg009,123,20,50,40,3,4,500,0.15,0.3,15,8,0.13822566426495536,0.10197981726164387,0.17279768126537237,0.13609826163101119,0.33757260624518853,0.25340647026553015,0.6000805224145194,0.7022742096841925,4.0,4.0,26.22222667263461,21.238375055508072,25.068978810228337,/Users/abhay/Desktop/CS/CS754_Proj/outputs/sweep/plots/cfg009__seed-123__n-20__K_true-50__K_learn-40__s_true-3__s-4__N-500__noise_std-0p15__missing_frac-0p3__n_iter-15__als_iters-8.png
cfg010,42,20,50,40,3,4,500,0.15,0.3,15,15,0.1392797883037463,0.10034857774347869,0.17282398933403798,0.13555467387358713,0.3165109127798698,0.25239223211502587,0.6386079933747753,0.6237175873416994,4.0,4.0,27.951801933648145,21.564897097946222,25.971879186504655,/Users/abhay/Desktop/CS/CS754_Proj/outputs/sweep/plots/cfg010__seed-42__n-20__K_true-50__K_learn-40__s_true-3__s-4__N-500__noise_std-0p15__missing_frac-0p3__n_iter-15__als_iters-15.png
cfg010,123,20,50,40,3,4,500,0.15,0.3,15,15,0.1382256635325345,0.10197979497270998,0.17279766980379035,0.13609826163035388,0.3375698746753548,0.25340647024505764,0.6000806920882731,0.7022742093131019,4.0,4.0,26.222242406738914,21.238369831669722,25.068995186955778,/Users/abhay/Desktop/CS/CS754_Proj/outputs/sweep/plots/cfg010__seed-123__n-20__K_true-50__K_learn-40__s_true-3__s-4__N-500__noise_std-0p15__missing_frac-0p3__n_iter-15__als_iters-15.png
cfg011,42,20,50,40,3,4,500,0.15,0.3,20,8,0.13927983853044143,0.09748947415555348,0.17282394147180113,0.13492321540449884,0.31707029589095925,0.25162141252143927,0.6869818437327789,0.6363433865081791,4.0,4.0,30.004604267080705,21.9302521077419,27.74447758061448,/Users/abhay/Desktop/CS/CS754_Proj/outputs/sweep/plots/cfg011__seed-42__n-20__K_true-50__K_learn-40__s_true-3__s-4__N-500__noise_std-0p15__missing_frac-0p3__n_iter-20__als_iters-8.png
cfg011,123,20,50,40,3,4,500,0.15,0.3,20,8,0.13822566426495536,0.09974451859754677,0.17279768126537237,0.13349922335765374,0.3398667617939942,0.25304895959595636,0.6195610831528737,0.6890006044180923,4.0,4.0,27.839363892400403,22.74246831319826,25.284570135420015,/Users/abhay/Desktop/CS/CS754_Proj/outputs/sweep/plots/cfg011__seed-123__n-20__K_true-50__K_learn-40__s_true-3__s-4__N-500__noise_std-0p15__missing_frac-0p3__n_iter-20__als_iters-8.png
cfg012,42,20,50,40,3,4,500,0.15,0.3,20,15,0.1392797883037463,0.09787757501539691,0.17282398933403798,0.13492321540545127,0.32215337860445,0.25162141252017795,0.6259121440618141,0.6363433865672615,4.0,4.0,29.725930655536303,21.93027372798997,27.45683185709018,/Users/abhay/Desktop/CS/CS754_Proj/outputs/sweep/plots/cfg012__seed-42__n-20__K_true-50__K_learn-40__s_true-3__s-4__N-500__noise_std-0p15__missing_frac-0p3__n_iter-20__als_iters-15.png
cfg012,123,20,50,40,3,4,500,0.15,0.3,20,15,0.1382256635325345,0.09974451256655106,0.17279766980379035,0.13349922335681635,0.33987704535446245,0.253048959595462,0.6195591797919445,0.6890006043740802,4.0,4.0,27.8393678731924,22.742463189229866,25.284574652577408,/Users/abhay/Desktop/CS/CS754_Proj/outputs/sweep/plots/cfg012__seed-123__n-20__K_true-50__K_learn-40__s_true-3__s-4__N-500__noise_std-0p15__missing_frac-0p3__n_iter-20__als_iters-15.png
cfg013,42,20,50,50,3,2,500,0.15,0.3,15,8,0.19610473538414824,0.15672191474903505,0.2170875842934369,0.1860329302752478,0.3127130946029451,0.26720234230034784,0.7919600377347695,0.7034648277150265,2.0,2.0,20.082544441349903,14.305126716142635,15.755821016658288,/Users/abhay/Desktop/CS/CS754_Proj/outputs/sweep/plots/cfg013__seed-42__n-20__K_true-50__K_learn-50__s_true-3__s-2__N-500__noise_std-0p15__missing_frac-0p3__n_iter-15__als_iters-8.png
cfg013,123,20,50,50,3,2,500,0.15,0.3,15,8,0.20148708800588855,0.16062054955972602,0.22394481673270994,0.19086155573215122,0.3207328497388079,0.2729765170310824,0.7132412743434142,0.70787703737713,2.0,2.0,20.282460206565787,14.772952320680567,15.844472217791427,/Users/abhay/Desktop/CS/CS754_Proj/outputs/sweep/plots/cfg013__seed-123__n-20__K_true-50__K_learn-50__s_true-3__s-2__N-500__noise_std-0p15__missing_frac-0p3__n_iter-15__als_iters-8.png
cfg014,42,20,50,50,3,2,500,0.15,0.3,15,15,0.19610538168457406,0.15761109750599647,0.21708745093237394,0.18603293041861702,0.31786522976299103,0.26720234269561266,0.7802375330327077,0.7034648270414069,2.0,2.0,19.62938693874998,14.305074006065366,15.277850458338138,/Users/abhay/Desktop/CS/CS754_Proj/outputs/sweep/plots/cfg014__seed-42__n-20__K_true-50__K_learn-50__s_true-3__s-2__N-500__noise_std-0p15__missing_frac-0p3__n_iter-15__als_iters-15.png
cfg014,123,20,50,50,3,2,500,0.15,0.3,15,15,0.20148556265592804,0.16287031185997802,0.22394556497689896,0.19086155570223495,0.32173979191262986,0.2729765168175279,0.6462018351495873,0.7078770362988679,2.0,2.0,19.165269355746517,14.773237093611025,14.665731786199188,/Users/abhay/Desktop/CS/CS754_Proj/outputs/sweep/plots/cfg014__seed-123__n-20__K_true-50__K_learn-50__s_true-3__s-2__N-500__noise_std-0p15__missing_frac-0p3__n_iter-15__als_iters-15.png
cfg015,42,20,50,50,3,2,500,0.15,0.3,20,8,0.19610473538414824,0.1553933437586144,0.2170875842934369,0.18565863214524947,0.31419382402004786,0.26711366752690624,0.7898538020366446,0.6879696547694972,2.0,2.0,20.760024762168317,14.477544743279736,16.30157889074455,/Users/abhay/Desktop/CS/CS754_Proj/outputs/sweep/plots/cfg015__seed-42__n-20__K_true-50__K_learn-50__s_true-3__s-2__N-500__noise_std-0p15__missing_frac-0p3__n_iter-20__als_iters-8.png
cfg015,123,20,50,50,3,2,500,0.15,0.3,20,8,0.20148708800588855,0.15935062865045269,0.22394481673270994,0.18872504172075405,0.3334614403815428,0.2720481559841559,0.717580189612365,0.7229915332355227,2.0,2.0,20.912734296008296,15.726988249070562,15.564661055296014,/Users/abhay/Desktop/CS/CS754_Proj/outputs/sweep/plots/cfg015__seed-123__n-20__K_true-50__K_learn-50__s_true-3__s-2__N-500__noise_std-0p15__missing_frac-0p3__n_iter-20__als_iters-8.png
